"CARD_ID","CUSTOMER_ID","CARD_TYPE","CARD_NUMBER","EXPIRY_DATE","IS_VALID","SECURITY_CODE"
619430,622148,"Visa(Debit)",1368352229,19-DEC-14,"Y",8325
619476,122462,"Visa(Credit)",1370020076,27-MAY-16,"Y",9260
619490,494888,"Visa(Debit)",1113263798,20-AUG-13,"Y",4518
619505,54396,"MasterCard",1184493321,25-NOV-14,"Y",2409
619523,431951,"Paypal",1260846941,12-APR-17,"Y",3445
619590,356433,"Paypal",1390852734,11-APR-16,"Y",7886
619633,523835,"Amex",1270021508,17-JUN-14,"Y",5492
619641,683294,"MasterCard",1181436035,20-MAR-17,"Y",2547
619651,860778,"Visa(Debit)",1296435960,30-APR-18,"Y",4592
619770,173410,"Visa(Credit)",1229970400,20-NOV-13,"Y",7144
619782,699945,"Visa(Debit)",1146163326,13-DEC-14,"N",8550
619795,459870,"Cheque",1407473943,09-FEB-17,"Y",7791
619801,649384,"Voucher",1283971012,09-OCT-15,"Y",5300
619894,454758,"Voucher",1370509089,20-AUG-13,"Y",8465
619922,99993,"MasterCard",1244421930,20-DEC-14,"Y",9242
619959,972714,"Visa(Debit)",1234508691,27-APR-17,"Y",4603
620053,323564,"Paypal",1251896441,18-MAY-15,"Y",5729
620154,118383,"MasterCard",1253886657,17-OCT-13,"Y",2937
620162,943716,"MasterCard",1347073608,07-SEP-17,"Y",1224
620198,213269,"Voucher",1286388770,17-MAY-15,"Y",5082
620212,813885,"Visa(Credit)",1167048024,03-DEC-14,"Y",4768
620220,636199,"MasterCard",1175563942,22-MAY-16,"Y",4094
620226,685482,"Visa(Debit)",1194328050,19-JUL-14,"Y",5274
620232,642254,"MasterCard",1399123589,20-JUN-14,"Y",9269
620296,853861,"Visa(Debit)",1299020539,13-DEC-15,"Y",4011
620371,276640,"Visa(Debit)",1271690413,18-AUG-15,"Y",4565
620446,842548,"MasterCard",1299465679,12-JAN-16,"Y",4919
620454,50710,"MasterCard",1395323914,03-DEC-13,"Y",1770
620475,147056,"Visa(Debit)",1354081298,03-JAN-15,"Y",4594
620480,713104,"Voucher",1323484909,08-JUL-16,"Y",8245
620481,985552,"Cheque",1292282251,28-JAN-15,"Y",2899
620555,857543,"Visa(Credit)",1305864716,24-OCT-16,"Y",5812
620592,666040,"Voucher",1187913883,31-JUL-14,"Y",9163
620622,415568,"Visa(Debit)",1237181141,09-JAN-18,"Y",5773
